,filename,MTF0.25,MTF0.5,x_coord,y_coord,meas_index,f_no,focal_length,lens_name
0,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4237.tif,0.48984398629472026,0.09766267557775167,3153.266233766233,1717.5259740259735,0,4.0,10.0,XF10-24mmF4 R OIS
1,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4237.tif,0.045065467277386646,0.006595761319278887,5854.564935064935,890.9285714285711,1,4.0,10.0,XF10-24mmF4 R OIS
2,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4237.tif,0.023348232365984926,0.005605487580568658,560.0194805194806,858.5129870129863,2,4.0,10.0,XF10-24mmF4 R OIS
3,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4237.tif,0.027640263028219095,0.007547576670679953,576.2272727272727,3370.7207792207787,3,4.0,10.0,XF10-24mmF4 R OIS
4,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4237.tif,0.02538762981527312,0.0063635539410472905,5849.162337662337,3359.915584415584,4,4.0,10.0,XF10-24mmF4 R OIS
5,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4235.tif,0.4834988867029935,0.10631783106486664,3153.266233766233,1717.5259740259735,0,4.0,10.0,XF10-24mmF4 R OIS
6,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4235.tif,0.19366431467829734,0.10866229896318985,5854.564935064935,890.9285714285711,1,4.0,10.0,XF10-24mmF4 R OIS
7,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4235.tif,0.8240446925351688,0.1440347906410138,560.0194805194806,858.5129870129863,2,4.0,10.0,XF10-24mmF4 R OIS
8,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4235.tif,0.47450543902495235,0.03464687794865852,576.2272727272727,3370.7207792207787,3,4.0,10.0,XF10-24mmF4 R OIS
9,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4235.tif,0.1514887333739623,0.019549782823403587,5849.162337662337,3359.915584415584,4,4.0,10.0,XF10-24mmF4 R OIS
10,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4245.tif,0.2185400250265611,0.033515063045455755,3153.266233766233,1717.5259740259735,0,5.6,10.0,XF10-24mmF4 R OIS
11,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4245.tif,0.30097590228027615,0.0462746389431661,5854.564935064935,890.9285714285711,1,5.6,10.0,XF10-24mmF4 R OIS
12,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4245.tif,0.21540624663479557,0.040056777361762975,560.0194805194806,858.5129870129863,2,5.6,10.0,XF10-24mmF4 R OIS
13,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4245.tif,0.2025052765176031,0.02527636381859954,576.2272727272727,3370.7207792207787,3,5.6,10.0,XF10-24mmF4 R OIS
14,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4245.tif,0.27916801471563263,0.01037986877609922,5849.162337662337,3359.915584415584,4,5.6,10.0,XF10-24mmF4 R OIS
15,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4251.tif,0.29865667534368234,0.05632103222998516,3153.266233766233,1717.5259740259735,0,8.0,10.0,XF10-24mmF4 R OIS
16,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4251.tif,0.2946669547013598,0.026387592578958716,5854.564935064935,890.9285714285711,1,8.0,10.0,XF10-24mmF4 R OIS
17,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4251.tif,0.27189593297346204,0.04853845369091171,560.0194805194806,858.5129870129863,2,8.0,10.0,XF10-24mmF4 R OIS
18,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4251.tif,0.2978769824401912,0.0670228093911518,576.2272727272727,3370.7207792207787,3,8.0,10.0,XF10-24mmF4 R OIS
19,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4251.tif,0.26619705113173286,0.011358293487202081,5849.162337662337,3359.915584415584,4,8.0,10.0,XF10-24mmF4 R OIS
20,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4240.tif,0.32508732685291913,0.07234340208168553,3153.266233766233,1717.5259740259735,0,4.0,10.0,XF10-24mmF4 R OIS
21,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4240.tif,0.11271692522001402,0.009012234705018659,5854.564935064935,890.9285714285711,1,4.0,10.0,XF10-24mmF4 R OIS
22,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4240.tif,0.18290784992177478,0.017324540132800437,560.0194805194806,858.5129870129863,2,4.0,10.0,XF10-24mmF4 R OIS
23,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4240.tif,0.12282182226777727,0.014670677128980746,576.2272727272727,3370.7207792207787,3,4.0,10.0,XF10-24mmF4 R OIS
24,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4240.tif,0.13935450399398167,0.011210801689226578,5849.162337662337,3359.915584415584,4,4.0,10.0,XF10-24mmF4 R OIS
25,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4254.tif,0.44047649191997235,0.08355692134108861,3153.266233766233,1717.5259740259735,0,11.0,10.0,XF10-24mmF4 R OIS
26,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4254.tif,0.23672633053795628,0.01610290716201961,5854.564935064935,890.9285714285711,1,11.0,10.0,XF10-24mmF4 R OIS
27,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4254.tif,0.16234993794166794,0.024333590728673214,560.0194805194806,858.5129870129863,2,11.0,10.0,XF10-24mmF4 R OIS
28,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4254.tif,0.19761761874384398,0.025374491940848516,576.2272727272727,3370.7207792207787,3,11.0,10.0,XF10-24mmF4 R OIS
29,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4254.tif,0.20969961419179736,0.01012625687089376,5849.162337662337,3359.915584415584,4,11.0,10.0,XF10-24mmF4 R OIS
30,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4255.tif,0.4495168519956664,0.07704795883831773,3153.266233766233,1717.5259740259735,0,11.0,10.0,XF10-24mmF4 R OIS
31,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4255.tif,0.2352362340363013,0.010778414769563255,5854.564935064935,890.9285714285711,1,11.0,10.0,XF10-24mmF4 R OIS
32,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4255.tif,0.14824253632865111,0.013531801411466073,560.0194805194806,858.5129870129863,2,11.0,10.0,XF10-24mmF4 R OIS
33,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4255.tif,0.1867497641597998,0.028284106498026727,576.2272727272727,3370.7207792207787,3,11.0,10.0,XF10-24mmF4 R OIS
34,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4255.tif,0.20157256057062262,0.012833556576891858,5849.162337662337,3359.915584415584,4,11.0,10.0,XF10-24mmF4 R OIS
35,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4257.tif,0.35824080214717224,0.04992130992752066,3153.266233766233,1717.5259740259735,0,16.0,10.0,XF10-24mmF4 R OIS
36,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4257.tif,0.12572457086131403,0.0239905414577892,5854.564935064935,890.9285714285711,1,16.0,10.0,XF10-24mmF4 R OIS
37,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4257.tif,0.09656606727381133,0.014698763214880083,560.0194805194806,858.5129870129863,2,16.0,10.0,XF10-24mmF4 R OIS
38,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4257.tif,0.08262761282292812,0.02243510743502252,576.2272727272727,3370.7207792207787,3,16.0,10.0,XF10-24mmF4 R OIS
39,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4257.tif,0.09706087334106542,0.03099069688083512,5849.162337662337,3359.915584415584,4,16.0,10.0,XF10-24mmF4 R OIS
40,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4243.tif,0.3818392755020617,0.07703555643564255,3153.266233766233,1717.5259740259735,0,5.6,10.0,XF10-24mmF4 R OIS
41,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4243.tif,0.2812604537371226,0.0291356373851645,5854.564935064935,890.9285714285711,1,5.6,10.0,XF10-24mmF4 R OIS
42,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4243.tif,0.1984558712107389,0.03813092420050878,560.0194805194806,858.5129870129863,2,5.6,10.0,XF10-24mmF4 R OIS
43,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4243.tif,0.1601942475211684,0.028664071143888525,576.2272727272727,3370.7207792207787,3,5.6,10.0,XF10-24mmF4 R OIS
44,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4243.tif,0.30560121151937236,0.018540888159364464,5849.162337662337,3359.915584415584,4,5.6,10.0,XF10-24mmF4 R OIS
45,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4242.tif,0.4694957179279893,0.08975267639730675,3153.266233766233,1717.5259740259735,0,5.6,10.0,XF10-24mmF4 R OIS
46,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4242.tif,0.008774995359926251,0.00487555131625726,5854.564935064935,890.9285714285711,1,5.6,10.0,XF10-24mmF4 R OIS
47,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4242.tif,0.06787806814594498,0.0051896091175490456,560.0194805194806,858.5129870129863,2,5.6,10.0,XF10-24mmF4 R OIS
48,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4242.tif,0.057136439761932584,0.007235120239718935,576.2272727272727,3370.7207792207787,3,5.6,10.0,XF10-24mmF4 R OIS
49,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4242.tif,0.10719817992467139,0.0038199493138111225,5849.162337662337,3359.915584415584,4,5.6,10.0,XF10-24mmF4 R OIS
50,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4256.tif,0.45615398286328107,0.06363809450415703,3153.266233766233,1717.5259740259735,0,11.0,10.0,XF10-24mmF4 R OIS
51,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4256.tif,0.2994540669834496,0.021025951227263143,5854.564935064935,890.9285714285711,1,11.0,10.0,XF10-24mmF4 R OIS
52,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4256.tif,0.24718885192136197,0.030858015407815933,560.0194805194806,858.5129870129863,2,11.0,10.0,XF10-24mmF4 R OIS
53,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4256.tif,0.24242552830880812,0.033237356655577276,576.2272727272727,3370.7207792207787,3,11.0,10.0,XF10-24mmF4 R OIS
54,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4256.tif,0.24604526192605367,0.010355206943868801,5849.162337662337,3359.915584415584,4,11.0,10.0,XF10-24mmF4 R OIS
55,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4258.tif,0.36320689750136226,0.0452702869203305,3153.266233766233,1717.5259740259735,0,16.0,10.0,XF10-24mmF4 R OIS
56,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4258.tif,0.14640933101826192,0.002937029912799846,5854.564935064935,890.9285714285711,1,16.0,10.0,XF10-24mmF4 R OIS
57,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4258.tif,0.11046650632868571,0.005863467068718171,560.0194805194806,858.5129870129863,2,16.0,10.0,XF10-24mmF4 R OIS
58,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4258.tif,0.11798503785064868,0.027631966864459657,576.2272727272727,3370.7207792207787,3,16.0,10.0,XF10-24mmF4 R OIS
59,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4258.tif,0.0911589065430612,0.02178619558063202,5849.162337662337,3359.915584415584,4,16.0,10.0,XF10-24mmF4 R OIS
60,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4259.tif,0.1953674042201317,0.032328919399863626,3153.266233766233,1717.5259740259735,0,22.0,10.0,XF10-24mmF4 R OIS
61,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4259.tif,0.07962679752441194,0.007954791356651543,5854.564935064935,890.9285714285711,1,22.0,10.0,XF10-24mmF4 R OIS
62,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4259.tif,0.017209546369229393,0.009226236404730337,560.0194805194806,858.5129870129863,2,22.0,10.0,XF10-24mmF4 R OIS
63,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4259.tif,0.07643502824037043,0.01990239783444771,576.2272727272727,3370.7207792207787,3,22.0,10.0,XF10-24mmF4 R OIS
64,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4259.tif,0.022904983035224157,0.016635941500911286,5849.162337662337,3359.915584415584,4,22.0,10.0,XF10-24mmF4 R OIS
65,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4249.tif,0.3028669002808441,0.056388266107448945,3153.266233766233,1717.5259740259735,0,8.0,10.0,XF10-24mmF4 R OIS
66,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4249.tif,0.30494987730435313,0.027402321617312337,5854.564935064935,890.9285714285711,1,8.0,10.0,XF10-24mmF4 R OIS
67,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4249.tif,0.26845868613359897,0.03932543696395585,560.0194805194806,858.5129870129863,2,8.0,10.0,XF10-24mmF4 R OIS
68,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4249.tif,0.30376056876915286,0.05302123468176606,576.2272727272727,3370.7207792207787,3,8.0,10.0,XF10-24mmF4 R OIS
69,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4249.tif,0.27066095041257515,0.0077777121413014115,5849.162337662337,3359.915584415584,4,8.0,10.0,XF10-24mmF4 R OIS
70,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4261.tif,0.45836152192844465,0.08450049198942347,3153.266233766233,1717.5259740259735,0,8.0,10.0,XF10-24mmF4 R OIS
71,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4261.tif,0.13729492159271944,0.011464876932974164,5854.564935064935,890.9285714285711,1,8.0,10.0,XF10-24mmF4 R OIS
72,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4261.tif,0.1317482623580312,0.019582450264365045,560.0194805194806,858.5129870129863,2,8.0,10.0,XF10-24mmF4 R OIS
73,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4261.tif,0.12410621623476073,0.002225914143181656,576.2272727272727,3370.7207792207787,3,8.0,10.0,XF10-24mmF4 R OIS
74,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4261.tif,0.14220784148047427,0.0070609163577707145,5849.162337662337,3359.915584415584,4,8.0,10.0,XF10-24mmF4 R OIS
75,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4260.tif,0.23824684586008968,0.03261323857800498,3153.266233766233,1717.5259740259735,0,22.0,10.0,XF10-24mmF4 R OIS
76,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4260.tif,0.06288115874357218,0.0075045473907729395,5854.564935064935,890.9285714285711,1,22.0,10.0,XF10-24mmF4 R OIS
77,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4260.tif,0.054761944880753824,0.009633625567214204,560.0194805194806,858.5129870129863,2,22.0,10.0,XF10-24mmF4 R OIS
78,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4260.tif,0.06515459893638931,0.01498373521262401,576.2272727272727,3370.7207792207787,3,22.0,10.0,XF10-24mmF4 R OIS
79,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4260.tif,0.015910944402260697,0.011657295185240842,5849.162337662337,3359.915584415584,4,22.0,10.0,XF10-24mmF4 R OIS
80,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4248.tif,0.479451103165582,0.10455475762543232,3153.266233766233,1717.5259740259735,0,8.0,10.0,XF10-24mmF4 R OIS
81,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4248.tif,0.20491811128913492,0.009416104932911697,5854.564935064935,890.9285714285711,1,8.0,10.0,XF10-24mmF4 R OIS
82,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4248.tif,0.13795147918620393,0.006726067590587963,560.0194805194806,858.5129870129863,2,8.0,10.0,XF10-24mmF4 R OIS
83,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4248.tif,0.17491083431318563,0.017188146199317595,576.2272727272727,3370.7207792207787,3,8.0,10.0,XF10-24mmF4 R OIS
84,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4248.tif,0.14988491820726174,0.007346297234277967,5849.162337662337,3359.915584415584,4,8.0,10.0,XF10-24mmF4 R OIS
85,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4262.tif,0.42797546519288354,0.06551918594869677,3153.266233766233,1717.5259740259735,0,8.0,10.0,XF10-24mmF4 R OIS
86,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4262.tif,0.31881128144216625,0.019291889871717458,5854.564935064935,890.9285714285711,1,8.0,10.0,XF10-24mmF4 R OIS
87,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4262.tif,0.21248560528591676,0.049798171877107424,560.0194805194806,858.5129870129863,2,8.0,10.0,XF10-24mmF4 R OIS
88,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4262.tif,0.24185650381585408,0.044090280092359393,576.2272727272727,3370.7207792207787,3,8.0,10.0,XF10-24mmF4 R OIS
89,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4262.tif,0.3300192885061477,0.060267249101291255,5849.162337662337,3359.915584415584,4,8.0,10.0,XF10-24mmF4 R OIS
90,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4238.tif,0.23216878728885898,0.040342159994686926,3153.266233766233,1717.5259740259735,0,4.0,10.0,XF10-24mmF4 R OIS
91,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4238.tif,0.23702630360127988,0.002946686684682631,5854.564935064935,890.9285714285711,1,4.0,10.0,XF10-24mmF4 R OIS
92,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4238.tif,0.18155463641306932,0.0200817484019147,560.0194805194806,858.5129870129863,2,4.0,10.0,XF10-24mmF4 R OIS
93,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4238.tif,0.1544818767736067,0.025787009436514043,576.2272727272727,3370.7207792207787,3,4.0,10.0,XF10-24mmF4 R OIS
94,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4238.tif,0.2330058463958448,0.003883892741797491,5849.162337662337,3359.915584415584,4,4.0,10.0,XF10-24mmF4 R OIS
95,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4239-2.tif,0.22857278718740617,0.028861150971052095,3153.266233766233,1717.5259740259735,0,4.0,10.0,XF10-24mmF4 R OIS
96,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4239-2.tif,0.22579278203040554,0.017214919316365977,5854.564935064935,890.9285714285711,1,4.0,10.0,XF10-24mmF4 R OIS
97,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4239-2.tif,0.16787070877458782,0.037092844576302644,560.0194805194806,858.5129870129863,2,4.0,10.0,XF10-24mmF4 R OIS
98,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4239-2.tif,0.16791693029872906,0.015116321347257426,576.2272727272727,3370.7207792207787,3,4.0,10.0,XF10-24mmF4 R OIS
99,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4239-2.tif,0.22272925729536022,0.02536529461465416,5849.162337662337,3359.915584415584,4,4.0,10.0,XF10-24mmF4 R OIS
